epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.498363587838101,0.8240574506283662,0.7688900024724994,0.4015166212258668,0.8448275862068966,0.8115997311273808,5e-05,53.768797874450684
2,0.13622850484651125,0.947935368043088,0.9266519690144692,0.17372594876536007,0.9310344827586207,0.9096057556595346,5e-05,52.488513469696045
3,0.05010932994942905,0.9856373429084381,0.9797308939678931,0.24572567588746033,0.9310344827586207,0.9093266308520624,5e-05,52.837565183639526
4,0.017344600913955878,0.9982046678635548,0.9982989998012849,0.23064137751975194,0.9224137931034483,0.8979761904761905,5e-05,52.17410111427307
5,0.0358602907876459,0.9910233393177738,0.9880572238983495,0.29072893243925324,0.896551724137931,0.8798422368009998,5e-05,52.28766179084778
