epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.6936732107368792,0.7899461400359067,0.7314458915886909,0.3875529581102832,0.8879310344827587,0.8564985090810519,0.001,482.81065940856934
2,0.24043464213877222,0.940754039497307,0.9167654566733034,0.312638514000794,0.896551724137931,0.8695541125541124,0.001,416.4615886211395
3,0.20054902300853916,0.9443447037701975,0.9228310656090584,0.2723147519703569,0.9051724137931034,0.8824329004329006,0.001,411.3996801376343
4,0.15263243870311408,0.9551166965888689,0.9397300090938316,0.2573694412050576,0.9137931034482759,0.8941753246753246,0.001,407.8925428390503
5,0.12845020452296926,0.9658886894075404,0.9523396373227213,0.25541209146894256,0.9051724137931034,0.8826372549019608,0.001,407.00604724884033
6,0.11857788367748688,0.9605026929982047,0.9455587698411951,0.2319285237583621,0.9224137931034483,0.9074411764705882,0.001,431.8783178329468
7,0.10537088706527621,0.9748653500897666,0.9650638268018821,0.2209618024784943,0.9310344827586207,0.9203077453855443,0.001,408.66419768333435
8,0.09699052105753062,0.9640933572710951,0.9497531692298322,0.21699429431865955,0.9137931034482759,0.8945012937726411,0.001,405.07282423973083
9,0.08759629656184512,0.9820466786355476,0.9752287293642352,0.2088684537287416,0.9310344827586207,0.9203077453855443,0.001,406.1149032115936
10,0.0692926790745832,0.9874326750448833,0.9821662387676507,0.20492703339149212,0.9396551724137931,0.9321069518716577,0.001,430.79163789749146
